Q2,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q17,Q19,Q21,Q22,Q23,sex,age,occupation/school,student/faculty
A little,From the news,To obtain significant help with a project,To aid in completion of a project,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat,Not at all,Not at all,0,I have not used ChatGPT,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Very unlikely,Very unlikely,"I would be concerned about the growth of ChatGPT, as it removes natural human thoughts from the thinking process.",Male,22-25,Management,Student
A good amount,From the news,To get started with a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Very much so,Very much so,A good amount,11 or more times,Curiosity,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat likely,Somewhat likely,It’s a really cool tool with a lot of great applications but it’s not trustworthy and accurate yet,Male,18-21,CS & Math,Student
A good amount,From a friend,To get started with a project,To get started with a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat,Very much so,A little,1 to 5,To get started with a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,"I think chat GPT is a great tool, if used with good intentions in mind. ",Female,18-21,CS & Math,Student
A great deal,From a family member,To aid in completion of a project,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat,Somewhat,A good amount,11 or more times,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat likely,Somewhat likely,"great for multiple choice, i’m scared to use it for essays",Female,18-21,CS & Math,Student
Nothing at all,From a friend,Curiosity,To obtain significant help with a project,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Very likely,Somewhat likely,ChaptGPT can be used as a search engine which can be beneficial because it can output a well thought answer that students may not find online,Female,18-21,CS & Math,Student
A good amount,From the news,To obtain significant help with a project,To aid in completion of a project,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Very much so,Somewhat,A good amount,6 to 10,To aid in completion of a project,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat likely,Neither likely nor unlikely,"I think if used the right way, ChatGPT can be super helpful for people. There are many people that use ChatGPT to plagiarize, but if you use it to help you and ask questions, it can be very helpful. ",Male,18-21,CS & Math,Student
A great deal,From the news,To obtain significant help with a project,To get started with a project,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither likely nor unlikely,Somewhat likely,"I feel like ChatGpt can be used for creative purposes, such as starting art projects, looking into some form of research, or asking for a synopsis of a book or paragraph. The degree to which these statements or information produced can be obscured or not as accurate. This is especially true if you ask ChatGPT to write a line of code or solve some sort of a complex question. ",Male,18-21,Communications & Arts,Student
A great deal,From a family member,To aid in completion of a project,To get started with a project,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat,Somewhat,A little,1 to 5,Curiosity,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Somewhat likely,I think ChatGPT is a new and innovative software that can aid individuals in many manners.,Female,22-25,Professor/Faculty,Professor/Faculty
Nothing at all,None,Curiosity,To obtain significant help with a project,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat likely,Very likely,,Female,18-21,Liberal Arts,Student
Nothing at all,From this questionnaire,Curiosity,Curiosity,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Very much so,Very much so,Not at all,0,I have not used ChatGPT,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Very likely,Very likely,I believe that this is a platform that can help students as well as professionals with their everyday work.,Male,22-25,Professor/Faculty,Professor/Faculty
